county,percentage w internet,matched edu,matched population,matched temp,matched humidity,matched emissions
"Bourbon County, Kansas",68.4,14.1,14360,43.7,65,34
"Brown County, Kansas",66.7,13.1,9508,39.8,65,34
"Butler County, Kansas",79.5,19.9,67380,43.6,65,34
"Chase County, Kansas",64.1,19.2,2572,41.5,65,34
"Chautauqua County, Kansas",61.6,10.4,3379,45.3,65,34
"Cherokee County, Kansas",65.7,14.2,19362,46.2,65,34
"Cheyenne County, Kansas",71.3,18.9,2616,37.6,65,34
"Clark County, Kansas",71.2,21.9,1991,42.6,65,34
"Clay County, Kansas",68,19.4,8117,40.9,65,34
"Cloud County, Kansas",73.1,15.7,9032,40.8,65,34
"Coffey County, Kansas",74.9,16.6,8360,43.2,65,34
"Comanche County, Kansas",63,13.3,1689,42.9,65,34
"Cowley County, Kansas",72,15.2,34549,44.9,65,34
"Crawford County, Kansas",74.1,17.8,38972,45.1,65,34
"Decatur County, Kansas",70.7,15.4,2764,37.8,65,34
"Dickinson County, Kansas",72.3,17.2,18402,42,65,34
"Doniphan County, Kansas",65.1,13.7,7510,40,65,34
"Douglas County, Kansas",87.8,30.6,118785,42.6,65,34
"Edwards County, Kansas",67.2,14.4,2907,41.3,65,34
"Elk County, Kansas",69.5,13.4,2483,44.6,65,34
"Ellis County, Kansas",81.8,23.3,28934,40.4,65,34
"Ellsworth County, Kansas",72.4,16.7,6376,41.6,65,34
"Finney County, Kansas",66.4,9.9,38470,39.4,65,34
"Ford County, Kansas",62.4,10,34287,41.1,65,34
"Franklin County, Kansas",67.6,13.3,25996,43,65,34
"Geary County, Kansas",82.8,11.2,36739,41.8,65,34
"Gove County, Kansas",72.1,13.8,2718,39,65,34
"Graham County, Kansas",72,19.3,2415,39.3,65,34
"Grant County, Kansas",67.4,12.2,7352,39.6,65,34
"Gray County, Kansas",78,15.6,5653,40.2,65,34
"Greeley County, Kansas",71.5,15,1284,37.5,65,34
"Greenwood County, Kansas",61.6,14.6,6016,43.8,65,34
"Hamilton County, Kansas",58.8,12.1,2518,38.7,65,34
"Harper County, Kansas",67.7,11.4,5485,44.3,65,34
"Harvey County, Kansas",75.8,21.3,34024,43.1,65,34
"Haskell County, Kansas",73.2,11.8,3780,39.9,65,34
"Hodgeman County, Kansas",75.8,25,1723,40.7,65,34
"Jackson County, Kansas",72.2,13.5,13232,40.8,65,34
"Jefferson County, Kansas",80.1,17.8,18368,41.7,65,34
"Jewell County, Kansas",66,14.6,2932,39.1,65,34
"Johnson County, Kansas",89.4,37.3,609863,42.4,65,34
"Kearny County, Kansas",71.1,9.3,3983,38.9,65,34
"Kingman County, Kansas",67.3,16.2,7470,43,65,34
"Kiowa County, Kansas",70.6,15.6,2460,41.7,65,34
"Labette County, Kansas",68.5,14.7,20184,45.8,65,34
"Lane County, Kansas",80.6,15.5,1574,39.4,65,34
"Leavenworth County, Kansas",82.5,22.6,81881,42.2,65,34
"Lincoln County, Kansas",64.2,18.5,2939,41.2,65,34
"Linn County, Kansas",63.4,12.6,9591,43.8,65,34
"Logan County, Kansas",68.8,12.8,2762,38.2,65,34
"Lyon County, Kansas",73.9,16.6,32179,41.9,65,34
"McPherson County, Kansas",76.5,18.6,30223,42.5,65,34
"Marion County, Kansas",71.3,19.5,11823,42.3,65,34
"Marshall County, Kansas",67.6,13,10038,39.4,65,34
"Meade County, Kansas",73.6,13.8,4055,41.9,65,34
"Miami County, Kansas",77.6,20.9,34191,43.2,65,34
"Mitchell County, Kansas",75.4,18.3,5796,40,65,34
"Montgomery County, Kansas",67.6,14,31486,45.5,65,34
"Morris County, Kansas",75.9,20,5386,41.4,65,34
"Morton County, Kansas",65.2,11,2701,40.5,65,34
"Nemaha County, Kansas",72.7,17.3,10273,39.5,65,34
"Neosho County, Kansas",67.2,13.5,15904,44.9,65,34
"Ness County, Kansas",71.7,16.3,2687,40.3,65,34
"Norton County, Kansas",75.1,14.3,5459,38.2,65,34
"Osage County, Kansas",70.2,13.6,15766,42.2,65,34
"Osborne County, Kansas",73,15.2,3500,39.9,65,34
"Ottawa County, Kansas",73.5,17,5735,41.3,65,34
"Pawnee County, Kansas",71.4,15.2,6253,41.2,65,34
"Phillips County, Kansas",71,17.4,4981,38.7,65,34
"Pottawatomie County, Kansas",81.1,20.9,25348,40.8,65,34
"Pratt County, Kansas",75.1,19.5,9157,42.1,65,34
"Rawlins County, Kansas",78.2,15.8,2561,37.6,65,34
"Reno County, Kansas",74.5,13.9,61898,42.5,65,34
"Republic County, Kansas",67.6,20.1,4674,39.7,65,34
"Rice County, Kansas",67.1,14.3,9427,41.7,65,34
"Riley County, Kansas",87.8,24.7,71959,41,65,34
"Rooks County, Kansas",74.9,17.4,4919,39.7,65,34
"Rush County, Kansas",76,15.7,2956,40.7,65,34
"Russell County, Kansas",74,17.2,6691,40.9,65,34
"Saline County, Kansas",71.3,18.5,54303,42.1,65,34
"Scott County, Kansas",70.5,15.5,5151,38.8,65,34
"Sedgwick County, Kansas",76.6,20.1,523824,43.8,65,34
"Seward County, Kansas",61.3,6.5,21964,41.2,65,34
"Shawnee County, Kansas",76.1,21.1,178909,42.2,65,34
"Sheridan County, Kansas",77,17.7,2447,38.1,65,34
"Sherman County, Kansas",75.3,15,5927,37.5,65,34
"Smith County, Kansas",71.7,15.9,3570,38.6,65,34
"Stafford County, Kansas",66.4,19.4,4072,41.1,65,34
"Stanton County, Kansas",72,11.6,2084,39.7,65,34
"Stevens County, Kansas",68,8,5250,40.6,65,34
"Sumner County, Kansas",74.2,16.4,22382,44.7,65,34
"Thomas County, Kansas",77.8,15.8,7930,37.4,65,34
"Trego County, Kansas",80,16.8,2808,40,65,34
"Wabaunsee County, Kansas",71.8,16.6,6877,41.7,65,34
"Wallace County, Kansas",74.3,21.3,1512,38,65,34
"Washington County, Kansas",65.1,14.7,5530,39.6,65,34
"Wichita County, Kansas",55.7,16,2152,37.9,65,34
"Wilson County, Kansas",61.8,13.5,8624,45,65,34
"Woodson County, Kansas",58.5,15,3115,44.4,65,34
"Wyandotte County, Kansas",67.4,11.4,169245,42.5,65,34
"Adair County, Kentucky",64.9,12.7,18903,47.7,67,74
"Allen County, Kentucky",61.2,12.1,20588,48.7,67,74
"Anderson County, Kentucky",70.8,14.8,23852,46.6,67,74
"Ballard County, Kentucky",72.6,11.4,7728,47.2,67,74
"Barren County, Kentucky",65.2,11,44485,48.8,67,74
"Bath County, Kentucky",60.6,10.1,12750,46.7,67,74
"Bell County, Kentucky",50.9,7.4,24097,46.5,67,74
"Boone County, Kentucky",84.2,20.6,135968,45.4,67,74
"Bourbon County, Kentucky",63.2,15.7,20252,46.4,67,74
"Boyd County, Kentucky",69.3,14.2,48261,47.5,67,74
"Boyle County, Kentucky",71.2,17,30614,47,67,74
"Bracken County, Kentucky",65.7,8.5,8400,45.6,67,74
"Breathitt County, Kentucky",55.9,10.7,13718,47.8,67,74
"Breckinridge County, Kentucky",65.6,9.9,20432,45.1,67,74
"Bullitt County, Kentucky",75.1,10.8,82217,46.8,67,74
"Butler County, Kentucky",60.6,10.1,12371,48.2,67,74
"Caldwell County, Kentucky",59.4,11.9,12649,46.9,67,74
"Calloway County, Kentucky",79.4,21.1,37103,47.5,67,74
"Campbell County, Kentucky",79.3,25.9,93076,46.5,67,74
"Carlisle County, Kentucky",73.1,9.8,4826,47.4,67,74
"Carroll County, Kentucky",59.6,4.9,10810,45.9,67,74
"Carter County, Kentucky",60.6,9.5,26627,46.6,67,74
"Casey County, Kentucky",59.1,7.8,15941,46.7,67,74
"Christian County, Kentucky",70.6,10.5,72748,47.6,67,74
"Clark County, Kentucky",72.3,13.9,36972,47,67,74
"Clay County, Kentucky",54.6,6.7,20345,47,67,74
"Clinton County, Kentucky",47.1,9.6,9253,47.6,67,74
"Crittenden County, Kentucky",56.7,9.6,8990,46.4,67,74
"Cumberland County, Kentucky",57.4,12.4,5888,48.8,67,74
"Daviess County, Kentucky",70.3,16,103312,46.2,67,74
"Edmonson County, Kentucky",64,7.6,12126,48.5,67,74
"Elliott County, Kentucky",58.9,6.9,7354,46.7,67,74
"Estill County, Kentucky",56.4,8.4,14163,47.7,67,74
"Fayette County, Kentucky",80.9,29.3,322570,46.9,67,74
"Fleming County, Kentucky",60.9,10.1,15082,46.2,67,74
"Floyd County, Kentucky",63.4,8.4,35942,48,67,74
"Franklin County, Kentucky",73.8,21.3,51541,46.5,67,74
"Fulton County, Kentucky",61.8,9,6515,47.7,67,74
"Gallatin County, Kentucky",62,6.5,8690,46,67,74
"Garrard County, Kentucky",69.9,14.9,16953,47.5,67,74
"Grant County, Kentucky",64.6,8.9,24941,45.8,67,74
"Graves County, Kentucky",69.4,11.3,36649,47,67,74
"Grayson County, Kentucky",60.3,7.4,26420,46.5,67,74
"Green County, Kentucky",58.2,8.3,11107,48.1,67,74
"Greenup County, Kentucky",71.5,11.5,35962,46.6,67,74
"Hancock County, Kentucky",64.6,9.2,9095,45.3,67,74
"Hardin County, Kentucky",75,14.5,110702,46.2,67,74
"Harlan County, Kentucky",60.7,7.2,26831,46.3,67,74
"Harrison County, Kentucky",59.7,11.7,18692,46.2,67,74
"Hart County, Kentucky",58.3,7.5,19288,48,67,74
"Henderson County, Kentucky",64.9,12.9,44793,46.2,67,74
"Henry County, Kentucky",62.3,9.1,15678,45.7,67,74
"Hickman County, Kentucky",67.8,16,4521,47.2,67,74
"Hopkins County, Kentucky",66.9,11.1,45423,47.4,67,74
"Jackson County, Kentucky",55.4,7.4,12955,46.7,67,74
"Jefferson County, Kentucky",74.7,23.1,782969,46.4,67,74
"Jessamine County, Kentucky",76.7,19.5,52991,47.3,67,74
"Johnson County, Kentucky",70.3,10.8,22680,47.4,67,74
"Kenton County, Kentucky",78.9,22.7,169064,45.4,67,74
"Knott County, Kentucky",62.9,11.5,14251,47.3,67,74
"Knox County, Kentucky",56.3,10.5,30193,46.6,67,74
"Larue County, Kentucky",65.1,10.4,14867,47,67,74
"Laurel County, Kentucky",67,10.8,62613,46.5,67,74
"Lawrence County, Kentucky",62.6,6.1,16293,47.4,67,74
"Lee County, Kentucky",47.2,5.2,7395,47.7,67,74
"Leslie County, Kentucky",64.6,6.5,10513,47.1,67,74
"Letcher County, Kentucky",65.5,7.9,21548,46.6,67,74
"Lewis County, Kentucky",60,6.2,13080,46,67,74
"Lincoln County, Kentucky",61.9,8.8,24275,46.8,67,74
"Livingston County, Kentucky",68.3,10.8,8888,46.8,67,74
"Logan County, Kentucky",66.6,11.6,27432,48.4,67,74
"Lyon County, Kentucky",61.8,11.7,8680,47.2,67,74
"McCracken County, Kentucky",77.4,17.4,67875,47.1,67,74
"McCreary County, Kentucky",56.9,6.1,16888,45.6,67,74
"McLean County, Kentucky",66.5,10.2,9152,47,67,74
"Madison County, Kentucky",76.4,19.6,92701,47.6,67,74
"Magoffin County, Kentucky",61.3,7.8,11637,47.4,67,74
"Marion County, Kentucky",56.8,9.5,19581,47.1,67,74
"Marshall County, Kentucky",75.9,15,31659,47.4,67,74
"Martin County, Kentucky",60.8,7.9,11287,48.1,67,74
"Mason County, Kentucky",67.3,14.8,17120,45.6,67,74
"Meade County, Kentucky",76.5,12,30003,45.5,67,74
"Menifee County, Kentucky",59,9.1,6113,46.9,67,74
"Mercer County, Kentucky",65.3,12.4,22641,47.1,67,74
"Metcalfe County, Kentucky",62.3,8.9,10286,48.3,67,74
"Monroe County, Kentucky",56,8.8,11338,48.7,67,74
"Montgomery County, Kentucky",61.8,10.6,28114,46.7,67,74
"Morgan County, Kentucky",65.6,10.7,13726,47.1,67,74
"Muhlenberg County, Kentucky",65.4,9.2,30928,47.9,67,74
"Nelson County, Kentucky",72.4,13,46738,46.8,67,74
"Nicholas County, Kentucky",50.7,5.8,7537,46.2,67,74
"Ohio County, Kentucky",57,9,23772,46.7,67,74
"Oldham County, Kentucky",88.8,28,67607,45.4,67,74
"Owen County, Kentucky",60.8,10.9,11278,46.1,67,74
"Owsley County, Kentucky",56.4,11.3,4051,47.6,67,74
"Pendleton County, Kentucky",65.4,9.8,14644,45.9,67,74
"Perry County, Kentucky",62.6,9.3,28473,47.5,67,74
"Pike County, Kentucky",66.1,9.9,58669,48.1,67,74
"Powell County, Kentucky",59.7,11.1,13129,47.4,67,74
"Pulaski County, Kentucky",67.1,11.8,65034,46.4,67,74
"Robertson County, Kentucky",58.3,9.6,2193,45.9,67,74
"Rockcastle County, Kentucky",59.5,9.5,16037,46.7,67,74
"Rowan County, Kentucky",72.8,14.8,24662,46.5,67,74
"Russell County, Kentucky",66.7,10.8,17991,46.9,67,74
"Scott County, Kentucky",75.7,19.5,57155,46.4,67,74
"Shelby County, Kentucky",75.4,19.2,48065,45.8,67,74
"Simpson County, Kentucky",68.3,7.6,19594,48.8,67,74
"Spencer County, Kentucky",77,14.5,19490,46.4,67,74
"Taylor County, Kentucky",66.9,15.1,26023,47.4,67,74
"Todd County, Kentucky",55.8,9.6,12243,47.9,67,74
"Trigg County, Kentucky",65.7,14.1,14061,47.4,67,74
"Trimble County, Kentucky",61.5,10.7,8474,45.4,67,74
"Union County, Kentucky",64.8,7.7,13668,45.8,67,74
"Warren County, Kentucky",76.3,19.1,134554,49.1,67,74
"Washington County, Kentucky",64.4,14,12027,46.8,67,74
"Wayne County, Kentucky",58.5,10,19555,46.3,67,74
"Webster County, Kentucky",58.6,7.2,13017,46.6,67,74
"Whitley County, Kentucky",60.9,12.6,36712,46,67,74
"Wolfe County, Kentucky",48.3,5.1,6562,47.4,67,74
"Woodford County, Kentucky",81.2,25.1,26871,47,67,74
"Acadia Parish, Louisiana",60.4,11,57576,59.6,74,140
"Allen Parish, Louisiana",60.2,9.7,22750,58.6,74,140
"Ascension Parish, Louisiana",80.1,17.7,126500,60.2,74,140
"Assumption Parish, Louisiana",59.4,9.5,21039,60.9,74,140
"Avoyelles Parish, Louisiana",58.4,8.6,39693,58.1,74,140
"Beauregard Parish, Louisiana",72.1,12.5,36549,58.6,74,140
"Bienville Parish, Louisiana",48.8,8.9,12981,54.7,74,140
"Bossier Parish, Louisiana",73.6,16.6,128746,54.5,74,140
"Caddo Parish, Louisiana",63.7,17,237848,54.9,74,140
"Calcasieu Parish, Louisiana",70,13.6,216785,59.4,74,140
"Caldwell Parish, Louisiana",57.3,10.3,9645,55.4,74,140
"Cameron Parish, Louisiana",80,14.8,5617,60.5,74,140
"Catahoula Parish, Louisiana",53.9,11.8,8906,56.9,74,140
"Claiborne Parish, Louisiana",40.2,10.6,14170,53.1,74,140
"Concordia Parish, Louisiana",59.1,9.4,18687,57.5,74,140
"De Soto Parish, Louisiana",61.3,9.9,26812,55.4,74,140
"East Baton Rouge Parish, Louisiana",75.3,22.5,456781,59.4,74,140
"East Carroll Parish, Louisiana",38.7,5.4,7459,54.9,74,140
"East Feliciana Parish, Louisiana",58.1,9.7,19539,58,74,140
"Evangeline Parish, Louisiana",49.6,8.5,33395,58.8,74,140
"Franklin Parish, Louisiana",51.5,9,19774,55.6,74,140
"Grant Parish, Louisiana",61.6,7.2,22169,56.4,74,140
"Iberia Parish, Louisiana",59.1,10.1,69929,61,74,140
"Iberville Parish, Louisiana",64.8,12.3,30241,60,74,140
"Jackson Parish, Louisiana",59,10.1,15031,54.5,74,140
"Jefferson Parish, Louisiana",71.7,19.2,440781,62.3,74,140
"Jefferson Davis Parish, Louisiana",54.2,11.9,32250,59.2,74,140
"Lafayette Parish, Louisiana",76.3,22.4,241753,60.2,74,140
"Lafourche Parish, Louisiana",67.1,11.6,97557,62.3,74,140
"LaSalle Parish, Louisiana",64.2,10.6,14791,74,74,140.00
"Lincoln Parish, Louisiana",70.7,18.7,48396,53.9,74,140
"Livingston Parish, Louisiana",74.5,12.8,142282,59.6,74,140
"Madison Parish, Louisiana",48.7,11.3,10017,55.5,74,140
"Morehouse Parish, Louisiana",51.4,8.3,25629,54.4,74,140
"Natchitoches Parish, Louisiana",56.9,12.2,37515,56.2,74,140
"Orleans Parish, Louisiana",68.3,27.6,383997,61.6,74,140
"Ouachita Parish, Louisiana",65.4,15.8,160368,54.8,74,140
"Plaquemines Parish, Louisiana",70.2,11.9,23515,63.4,74,140
"Pointe Coupee Parish, Louisiana",57.3,11.2,20758,58.6,74,140
"Rapides Parish, Louisiana",68.5,14.5,130023,57.8,74,140
"Red River Parish, Louisiana",59,10,7620,55.6,74,140
"Richland Parish, Louisiana",50.7,10.8,20043,55.2,74,140
"Sabine Parish, Louisiana",54.3,9.8,22155,56.4,74,140
"St. Bernard Parish, Louisiana",67.7,9.8,43764,62,74,140
"St. Charles Parish, Louisiana",76,19.1,52549,61.7,74,140
"St. Helena Parish, Louisiana",62.5,10.9,10920,58,74,140
"St. James Parish, Louisiana",64.3,12.2,20192,60.7,74,140
"St. John the Baptist Parish, Louisiana",71,11.6,42477,60.9,74,140
"St. Landry Parish, Louisiana",54.7,9.8,82540,59.1,74,140
"St. Martin Parish, Louisiana",63.1,10.5,51767,60.4,74,140
"St. Mary Parish, Louisiana",54.4,6.8,49406,61.6,74,140
"St. Tammany Parish, Louisiana",82.8,23,264570,60.2,74,140
"Tangipahoa Parish, Louisiana",68,14.4,133157,59,74,140
"Tensas Parish, Louisiana",43.9,14.3,4147,56.3,74,140
"Terrebonne Parish, Louisiana",68.5,10.7,109580,62.4,74,140
"Union Parish, Louisiana",52.6,12.8,21107,54,74,140
"Vermilion Parish, Louisiana",65.9,11.2,57359,60.8,74,140
"Vernon Parish, Louisiana",71.6,11,48750,57.8,74,140
"Washington Parish, Louisiana",55.4,8.2,45463,58.6,74,140
"Webster Parish, Louisiana",47.4,10.9,36967,53.9,74,140
"West Baton Rouge Parish, Louisiana",75.9,15,27199,59.5,74,140
"West Carroll Parish, Louisiana",52.4,9,9751,54.7,74,140
"West Feliciana Parish, Louisiana",62,18.3,15310,57.9,74,140
"Winn Parish, Louisiana",54.3,12.4,13755,55.4,74,140
"Androscoggin County, Maine",77.8,15.4,111139,41,71.5,3
"Aroostook County, Maine",70.5,14.7,67105,34.3,71.5,3
"Cumberland County, Maine",85.2,34,303069,41.3,71.5,3
"Franklin County, Maine",75.1,19.4,29456,36.4,71.5,3
"Hancock County, Maine",79,26.7,55478,41.2,71.5,3
"Kennebec County, Maine",79.3,21,123642,41.6,71.5,3
"Knox County, Maine",82.6,25.4,40607,42,71.5,3
"Lincoln County, Maine",80.9,27.1,35237,42.2,71.5,3
"Oxford County, Maine",76.9,15.5,57777,38.5,71.5,3
"Penobscot County, Maine",77.7,20.3,152199,38.7,71.5,3
"Piscataquis County, Maine",71.7,14.5,16800,36.4,71.5,3
"Sagadahoc County, Maine",78,27.4,36699,42,71.5,3
"Somerset County, Maine",73.3,13.4,50477,37.1,71.5,3
"Waldo County, Maine",78.7,23.5,39607,41,71.5,3
"Washington County, Maine",71.8,17.7,31095,40.9,71.5,3
"York County, Maine",82.1,23.1,211972,41.8,71.5,3
"Allegany County, Maryland",70.5,14.1,68106,43.7,64.5,19
"Anne Arundel County, Maryland",88.2,29,588261,51.1,64.5,19
"Baltimore County, Maryland",83,26.8,854535,48.2,64.5,19
"Calvert County, Maryland",86.9,23.3,92783,51.5,64.5,19
"Caroline County, Maryland",73.5,12.9,33293,50.2,64.5,19
"Carroll County, Maryland",83.5,25.1,172891,46.7,64.5,19
"Cecil County, Maryland",81.4,17.4,103725,48.5,64.5,19
"Charles County, Maryland",85.5,19.6,166617,51.4,64.5,19
"Dorchester County, Maryland",69.3,14.1,32531,51.9,64.5,19
"Frederick County, Maryland",86.7,26.8,271717,46.9,64.5,19
"Garrett County, Maryland",72.4,17.6,28806,40.4,64.5,19
"Harford County, Maryland",86.3,25,260924,48.1,64.5,19
"Howard County, Maryland",92.2,41.2,332317,48.5,64.5,19
"Kent County, Maryland",69.9,26.3,19198,49.8,64.5,19
"Montgomery County, Maryland",90.8,40.3,1062061,48.7,64.5,19
"Prince George's County, Maryland",82.3,22,967201,50.4,64.5,19
"Queen Anne's County, Maryland",84.3,26.2,49874,50,64.5,19
"St. Mary's County, Maryland",84.9,21.2,113777,52.1,64.5,19
"Somerset County, Maryland",70.5,11,24620,52.6,64.5,19
"Talbot County, Maryland",80.9,29.7,37526,51.5,64.5,19
"Washington County, Maryland",74.2,15.3,154705,45.8,64.5,19
"Wicomico County, Maryland",75.9,17.6,103588,51.8,64.5,19
"Worcester County, Maryland",79.4,22.5,52460,52.6,64.5,19
"Baltimore city, Maryland",69.2,23.6,585708,50.4,64.5,19
"Barnstable County, Massachusetts",85.3,35.2,212990,48.7,67,10
"Berkshire County, Massachusetts",79.3,26.2,124944,40.9,67,10
"Bristol County, Massachusetts",75.7,20.4,565217,47.1,67,10
"Dukes County, Massachusetts",87,33.8,17332,48.9,67,10
"Essex County, Massachusetts",79.8,28.2,789034,45.7,67,10
"Franklin County, Massachusetts",79.3,29.1,70180,41.8,67,10
"Hampden County, Massachusetts",71.1,18.7,466372,43.5,67,10
"Hampshire County, Massachusetts",86.6,30.4,160830,42.7,67,10
"Middlesex County, Massachusetts",87.6,40,1611699,45.5,67,10
"Nantucket County, Massachusetts",90.3,37,11399,49.2,67,10
"Norfolk County, Massachusetts",87.1,38.2,706775,46.7,67,10
"Plymouth County, Massachusetts",83.9,26.5,521202,47.6,67,10
"Suffolk County, Massachusetts",79.7,33.1,803907,47.7,67,10
"Worcester County, Massachusetts",80.7,25.5,830622,48.9,67,10.00
"Alcona County, Michigan",67.6,15.2,10405,39.5,72.5,75
"Alger County, Michigan",71.4,14.8,9108,34.8,72.5,75
"Allegan County, Michigan",76.7,15.9,118081,41.2,72.5,75
"Alpena County, Michigan",70.5,13.4,28405,39.6,72.5,75
"Antrim County, Michigan",76.5,22.3,23324,39.8,72.5,75
"Arenac County, Michigan",65.4,9.9,14883,40.8,72.5,75
"Baraga County, Michigan",71.2,11.5,8209,33.4,72.5,75
"Barry County, Michigan",75.2,16,61550,40.5,72.5,75
"Bay County, Michigan",72.8,14.3,103126,41.1,72.5,75
"Benzie County, Michigan",81.6,24.5,17766,39.4,72.5,75
"Berrien County, Michigan",72.6,19.4,153401,42.3,72.5,75
"Branch County, Michigan",68.9,10.4,43517,41.1,72.5,75
"Calhoun County, Michigan",70.3,14.6,134159,40.6,72.5,75
"Cass County, Michigan",73.4,14.8,51787,41.3,72.5,75
"Charlevoix County, Michigan",77.1,24,26143,40.2,72.5,75
"Cheboygan County, Michigan",73.8,16.9,25276,39.5,72.5,75
"Chippewa County, Michigan",74.5,15.8,37349,36.1,72.5,75
"Clare County, Michigan",63.6,8.8,30950,37.8,72.5,75
"Clinton County, Michigan",80.7,22,79595,40.6,72.5,75
"Crawford County, Michigan",74.2,14.3,14029,38.2,72.5,75
"Delta County, Michigan",69.2,14.2,35784,36,72.5,75
"Dickinson County, Michigan",71.2,18,25239,34.8,72.5,75
"Eaton County, Michigan",79.3,20.4,110268,40.5,72.5,75
"Emmet County, Michigan",75.6,25.2,33415,39.8,72.5,75
"Genesee County, Michigan",71.7,14.8,405813,41,72.5,75
"Gladwin County, Michigan",67.1,10.6,25449,39.5,72.5,75
"Gogebic County, Michigan",67.7,16.1,13975,31.6,72.5,75
"Grand Traverse County, Michigan",81.6,27.7,93088,39.3,72.5,75
"Gratiot County, Michigan",70.2,11.5,40711,40.2,72.5,75.00
"Hillsdale County, Michigan",68.9,13,45605,41,72.5,75
"Houghton County, Michigan",76.6,19.9,35684,34.5,72.5,75
"Huron County, Michigan",68,11.9,30981,42.2,72.5,75
"Ingham County, Michigan",79.7,23.9,292406,40.5,72.5,75
"Ionia County, Michigan",71.8,11.5,64697,39.9,72.5,75
"Iosco County, Michigan",69.7,12,25127,40.4,72.5,75
"Iron County, Michigan",67.3,14.8,11066,32.5,72.5,75
"Isabella County, Michigan",77.6,16.5,69872,38.7,72.5,75
"Jackson County, Michigan",73.1,15.7,158510,40.6,72.5,75
"Kalamazoo County, Michigan",80.9,25,265066,40.7,72.5,75
"Kalkaska County, Michigan",71.1,10.2,18038,38.1,72.5,75
"Kent County, Michigan",80.1,24.3,656955,39.9,72.5,75
"Keweenaw County, Michigan",79.5,29.3,2116,34.9,72.5,75
"Lake County, Michigan",58.2,10.5,11853,37.6,72.5,75
"Lapeer County, Michigan",77.8,13.1,87607,41.2,72.5,75
"Leelanau County, Michigan",84.8,36.1,21761,40.2,72.5,75
"Lenawee County, Michigan",74.9,14.6,98451,41.7,72.5,75
"Livingston County, Michigan",85,25.6,191995,40.3,72.5,75
"Luce County, Michigan",72.3,15.2,6229,34.5,72.5,75
"Mackinac County, Michigan",69.9,18.7,10799,36.6,72.5,75
"Macomb County, Michigan",78.6,18.3,873972,42.8,72.5,75
"Manistee County, Michigan",76,16.8,24558,39.2,72.5,75
"Marquette County, Michigan",78.7,22.7,66699,34.3,72.5,75
"Mason County, Michigan",70.9,16,29144,39.1,72.5,75
"Mecosta County, Michigan",73.8,14.5,43453,37.3,72.5,75
"Menominee County, Michigan",68.3,13.2,22780,36.3,72.5,75
"Midland County, Michigan",78.7,24.5,83156,40.4,72.5,75
"Missaukee County, Michigan",68.5,11,15118,36.9,72.5,75
"Monroe County, Michigan",75.9,14.8,150500,42.5,72.5,75
"Montcalm County, Michigan",66.2,10.1,63888,38.6,72.5,75
"Montmorency County, Michigan",69.6,11.7,9328,39.1,72.5,75
"Muskegon County, Michigan",69.6,13.6,173566,41.6,72.5,75
"Newaygo County, Michigan",70.2,12,48980,38.7,72.5,75
"Oakland County, Michigan",84.5,34,1257584,41,72.5,75
"Oceana County, Michigan",70,13.7,26467,40,72.5,75
"Ogemaw County, Michigan",69.2,9.2,20997,38.7,72.5,75
"Ontonagon County, Michigan",73.4,12.8,5720,33.4,72.5,75
"Osceola County, Michigan",67.3,10.5,23460,36.5,72.5,75
"Oscoda County, Michigan",63.7,9,8241,38.5,72.5,75
"Otsego County, Michigan",77.7,18.3,24668,38.7,72.5,75
"Ottawa County, Michigan",83.2,21.8,291830,41.5,72.5,75
"Presque Isle County, Michigan",68,14.9,12592,39.4,72.5,75
"Roscommon County, Michigan",71.8,12.9,24019,38.1,72.5,75
"Saginaw County, Michigan",70,15.3,190539,40.9,72.5,75
"St. Clair County, Michigan",74.4,13.6,159128,42.7,72.5,75
"St. Joseph County, Michigan",68.3,10.8,60964,41.1,72.5,75
"Sanilac County, Michigan",68.9,10.6,41170,41.8,72.5,75
"Schoolcraft County, Michigan",71,14.5,8094,35.1,72.5,75
"Shiawassee County, Michigan",72.1,12.6,68122,40.7,72.5,75
"Tuscola County, Michigan",69.8,9.8,52245,41.3,72.5,75
"Van Buren County, Michigan",73.7,14.3,75677,41.4,72.5,75
"Washtenaw County, Michigan",87.5,35.7,367601,40.4,72.5,75
"Wayne County, Michigan",69.6,17.1,1749343,42.2,72.5,75
"Wexford County, Michigan",72,13.6,33631,44,72.5,75.00
"Aitkin County, Minnesota",69.2,14.5,15697,29.8,66.5,38
"Anoka County, Minnesota",84.7,20.2,363887,33.8,66.5,38
"Becker County, Minnesota",73.6,17.2,35183,28.1,66.5,38
"Beltrami County, Minnesota",75.3,18.7,46228,27.2,66.5,38
"Benton County, Minnesota",77.5,15,41379,31.9,66.5,38
"Big Stone County, Minnesota",72.2,12.7,5166,30.3,66.5,38
"Blue Earth County, Minnesota",85.3,19.8,69112,34.1,66.5,38
"Brown County, Minnesota",76.5,15,25912,33.6,66.5,38
"Carlton County, Minnesota",73.2,15.6,36207,29.3,66.5,38
"Carver County, Minnesota",89.4,31.1,106922,34,66.5,38
"Cass County, Minnesota",72.7,18,30066,29.8,66.5,38
"Chippewa County, Minnesota",69.5,12.9,12598,31.5,66.5,38
"Chisago County, Minnesota",83.3,15.3,56621,34.2,66.5,38
"Clay County, Minnesota",81.2,20.3,65318,26.8,66.5,38
"Clearwater County, Minnesota",69.8,12.5,8524,26.8,66.5,38
